RowID,Name,smiles-joint,cation,anion,econd_15,econd_20,econd_25,econd_30,econd_40,econd_50,econd_60,econd_70
IL0194,pyrrolidinium nitrate,C1CC[NH2+]C1.[O-][N+]([O-])=O,C1CC[NH2+]C1,[O-][N+]([O-])=O,,3.71,4.615,,5.97,7.17,8.51,
IL0466,1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,CCC[n+]1ccccc1.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCC[n+]1ccccc1,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,,,,0.62,0.826,1.051,
IL0151,N-methyl-N-propylpyrrolidinium acetate,CCC[N+]1(C)CCCC1.CC([O-])=O,CCC[N+]1(C)CCCC1,CC([O-])=O,0.35,0.46,0.6225,0.8,,1.75,2.38,
IL0591,2-methylpyridinium trifluoroacetate,Cc1cccc[nH+]1.[O-]C(=O)C(F)(F)F,Cc1cccc[nH+]1,[O-]C(=O)C(F)(F)F,,,0.292,0.346,,0.74,0.94,
IL0373,1-butyl-3-methyl-1H-imidazol-3-ium (4-cyanophenyl)trifluoroborate,CCCCn1cc[n+](C)c1.F[B-](F)(F)c1ccc(cc1)C#N,CCCCn1cc[n+](C)c1,F[B-](F)(F)c1ccc(cc1)C#N,,,,0.138,,0.325,0.472,
IL1638,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-methoxyphenyl)borate,CCCCn1cc[n+](C)c1.COc1cccc(c1)[B-](F)(F)F,CCCCn1cc[n+](C)c1,COc1cccc(c1)[B-](F)(F)F,,,,0.138,,0.325,0.472,
IL0137,1-ethyl-3-methylimidazolium chloride,CCn1cc[n+](C)c1.[Cl-],CCn1cc[n+](C)c1,[Cl-],0.0025,,,,,0.487,0.802,
IL0461,1-methylpyrrolidinium tetrafluoroborate,C[NH+]1CCCC1.F[B-](F)(F)F,C[NH+]1CCCC1,F[B-](F)(F)F,,,,,,0.00475,0.00569,
IL0268,1-methyl-1-propylpyrrolidinium dicyanamide,CCC[N+]1(C)CCCC1.N#C[N-]C#N,CCC[N+]1(C)CCCC1,N#C[N-]C#N,,1.57,,,2.67,,4.44,
IL1769,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,0.00719,,,0.0216,,0.0473,
